"","ASV1368","ASV1374","ASV1443","ASV1483","ASV1551","ASV1553","ASV1560","ASV1814","ASV1937","ASV2053","ASV2065","ASV2072","ASV2244","ASV2392","ASV2434","ASV2636","ASV2741","ASV3087","ASV3099","ASV3364","ASV3390","ASV3535","ASV3592","ASV3695","ASV3732"
"ASV1368",0,0.525291828793774,0.454545454545454,0.523076923076923,0.523809523809524,0.471698113207547,0.415094339622642,0.511111111111111,0.557692307692308,0.368421052631579,0.333333333333333,0.388888888888889,0.333333333333333,0.4,0.428571428571428,0.477272727272727,0.512820512820513,0.409090909090909,0.545454545454545,0.31578947368421,0.31578947368421,0.45,0.428571428571428,0.333333333333333,0.409090909090909
"ASV1374",0.525291828793774,0,0.521739130434783,0.546875,0.476190476190476,0.6,0.552380952380952,0.48936170212766,0.5,0.368421052631579,0.333333333333333,0.388888888888889,0.333333333333333,0.3,0.428571428571428,0.587878787878788,0.65,0.434782608695652,0.65,0.31578947368421,0.31578947368421,0.4,0.428571428571428,0.333333333333333,0.363636363636364
"ASV1443",0.454545454545454,0.521739130434783,0,0.571428571428571,0.153846153846154,0.571428571428571,0.714285714285714,0.274509803921569,0.259259259259259,0.307692307692308,0.28,0.117647058823529,0.127659574468085,0.185185185185185,0.296296296296296,0.636363636363636,0.214285714285714,0.158730158730159,0.523809523809524,0.109090909090909,0.333333333333333,0.285714285714286,0.327272727272727,0.285714285714286,0.254545454545455
"ASV1483",0.523076923076923,0.546875,0.571428571428571,0,0.480769230769231,0.680851063829787,0.5,0.586666666666667,0.564102564102564,0.5,0.46,0.547169811320755,0.469387755102041,0.482142857142857,0.490909090909091,0.584615384615385,0.53125,0.5625,0.605263157894737,0.472727272727273,0.431372549019608,0.44,0.509090909090909,0.450980392156863,0.527272727272727
"ASV1551",0.523809523809524,0.476190476190476,0.153846153846154,0.480769230769231,0,0.68421052631579,0.631578947368421,0.234042553191489,0.22,0.32,0.285714285714286,0.12,0.148936170212766,0.16,0.254901960784314,0.714285714285714,0.105263157894737,0.134615384615385,0.578947368421053,0.1,0.3,0.229166666666667,0.326923076923077,0.244897959183673,0.245283018867925
"ASV1553",0.471698113207547,0.6,0.571428571428571,0.680851063829787,0.68421052631579,0,0.418181818181818,0.674418604651163,0.714285714285714,0.529411764705882,0.5,0.5625,0.473684210526316,0.555555555555556,0.578947368421053,0.358490566037736,0.611111111111111,0.571428571428571,0.608695652173913,0.470588235294118,0.470588235294118,0.611111111111111,0.578947368421053,0.473684210526316,0.55
"ASV1560",0.415094339622642,0.552380952380952,0.714285714285714,0.5,0.631578947368421,0.418181818181818,0,0.704545454545455,0.72,0.588235294117647,0.5625,0.5,0.526315789473684,0.611111111111111,0.631578947368421,0.433962264150943,0.675675675675676,0.619047619047619,0.630434782608696,0.529411764705882,0.529411764705882,0.666666666666667,0.631578947368421,0.526315789473684,0.6
"ASV1814",0.511111111111111,0.48936170212766,0.274509803921569,0.586666666666667,0.234042553191489,0.674418604651163,0.704545454545455,0,0.351351351351351,0.239130434782609,0.152173913043478,0.217391304347826,0.191489361702128,0.208333333333333,0.229166666666667,0.688888888888889,0.290322580645161,0.254901960784314,0.764705882352941,0.217391304347826,0.195652173913043,0.270833333333333,0.26530612244898,0.229166666666667,0.26530612244898
"ASV1937",0.557692307692308,0.5,0.259259259259259,0.564102564102564,0.22,0.714285714285714,0.72,0.351351351351351,0,0.28,0.22,0.2,0.173913043478261,0.269230769230769,0.235294117647059,0.705882352941176,0.306451612903226,0.296296296296296,0.575757575757576,0.16,0.16,0.270833333333333,0.25,0.1875,0.25
"ASV2053",0.368421052631579,0.368421052631579,0.307692307692308,0.5,0.32,0.529411764705882,0.588235294117647,0.239130434782609,0.28,0,0.204081632653061,0.3,0.181818181818182,0.346153846153846,0.176470588235294,0.578947368421053,0.128205128205128,0.307692307692308,0.529411764705882,0.288461538461538,0.294117647058823,0.239130434782609,0.0576923076923077,0.260869565217391,0.288461538461538
"ASV2065",0.333333333333333,0.333333333333333,0.28,0.46,0.285714285714286,0.5,0.5625,0.152173913043478,0.22,0.204081632653061,0,0.26,0.222222222222222,0.24,0.224489795918367,0.555555555555556,0.102564102564103,0.32,0.5,0.244897959183673,0.204081632653061,0.234042553191489,0.2,0.148936170212766,0.26
"ASV2072",0.388888888888889,0.388888888888889,0.117647058823529,0.547169811320755,0.12,0.5625,0.5,0.217391304347826,0.2,0.3,0.26,0,0.0851063829787234,0.169811320754717,0.254901960784314,0.5,0.146341463414634,0.192307692307692,0.5625,0.06,0.26,0.3125,0.274509803921569,0.224489795918367,0.215686274509804
"ASV2244",0.333333333333333,0.333333333333333,0.127659574468085,0.469387755102041,0.148936170212766,0.473684210526316,0.526315789473684,0.191489361702128,0.173913043478261,0.181818181818182,0.222222222222222,0.0851063829787234,0,0.148936170212766,0.170212765957447,0.523809523809524,0.121951219512195,0.208333333333333,0.578947368421053,0.0681818181818182,0.181818181818182,0.25,0.191489361702128,0.22,0.166666666666667
"ASV2392",0.4,0.3,0.185185185185185,0.482142857142857,0.16,0.555555555555556,0.611111111111111,0.208333333333333,0.269230769230769,0.346153846153846,0.24,0.169811320754717,0.148936170212766,0,0.320754716981132,0.55,0.186046511627907,0.2,0.555555555555556,0.153846153846154,0.294117647058823,0.291666666666667,0.30188679245283,0.224489795918367,0.188679245283019
"ASV2434",0.428571428571428,0.428571428571428,0.296296296296296,0.490909090909091,0.254901960784314,0.578947368421053,0.631578947368421,0.229166666666667,0.235294117647059,0.176470588235294,0.224489795918367,0.254901960784314,0.170212765957447,0.320754716981132,0,0.619047619047619,0.1,0.309090909090909,0.526315789473684,0.274509803921569,0.22,0.285714285714286,0.222222222222222,0.224489795918367,0.351851851851852
"ASV2636",0.477272727272727,0.587878787878788,0.636363636363636,0.584615384615385,0.714285714285714,0.358490566037736,0.433962264150943,0.688888888888889,0.705882352941176,0.578947368421053,0.555555555555556,0.5,0.523809523809524,0.55,0.619047619047619,0,0.641025641025641,0.5,0.568181818181818,0.578947368421053,0.578947368421053,0.65,0.619047619047619,0.523809523809524,0.590909090909091
"ASV2741",0.512820512820513,0.65,0.214285714285714,0.53125,0.105263157894737,0.611111111111111,0.675675675675676,0.290322580645161,0.306451612903226,0.128205128205128,0.102564102564103,0.146341463414634,0.121951219512195,0.186046511627907,0.1,0.641025641025641,0,0.232558139534884,0.62962962962963,0.153846153846154,0.128205128205128,0.2,0.1,0.121951219512195,0.15
"ASV3087",0.409090909090909,0.434782608695652,0.158730158730159,0.5625,0.134615384615385,0.571428571428571,0.619047619047619,0.254901960784314,0.296296296296296,0.307692307692308,0.32,0.192307692307692,0.208333333333333,0.2,0.309090909090909,0.5,0.232558139534884,0,0.523809523809524,0.127272727272727,0.333333333333333,0.26,0.381818181818182,0.28,0.236363636363636
"ASV3099",0.545454545454545,0.65,0.523809523809524,0.605263157894737,0.578947368421053,0.608695652173913,0.630434782608696,0.764705882352941,0.575757575757576,0.529411764705882,0.5,0.5625,0.578947368421053,0.555555555555556,0.526315789473684,0.568181818181818,0.62962962962963,0.523809523809524,0,0.470588235294118,0.470588235294118,0.611111111111111,0.578947368421053,0.526315789473684,0.6
"ASV3364",0.31578947368421,0.31578947368421,0.109090909090909,0.472727272727273,0.1,0.470588235294118,0.529411764705882,0.217391304347826,0.16,0.288461538461538,0.244897959183673,0.06,0.0681818181818182,0.153846153846154,0.274509803921569,0.578947368421053,0.153846153846154,0.127272727272727,0.470588235294118,0,0.254901960784314,0.239130434782609,0.25,0.173913043478261,0.192307692307692
"ASV3390",0.31578947368421,0.31578947368421,0.333333333333333,0.431372549019608,0.3,0.470588235294118,0.529411764705882,0.195652173913043,0.16,0.294117647058823,0.204081632653061,0.26,0.181818181818182,0.294117647058823,0.22,0.578947368421053,0.128205128205128,0.333333333333333,0.470588235294118,0.254901960784314,0,0.173913043478261,0.274509803921569,0.0869565217391304,0.294117647058823
"ASV3535",0.45,0.4,0.285714285714286,0.44,0.229166666666667,0.611111111111111,0.666666666666667,0.270833333333333,0.270833333333333,0.239130434782609,0.234042553191489,0.3125,0.25,0.291666666666667,0.285714285714286,0.65,0.2,0.26,0.611111111111111,0.239130434782609,0.173913043478261,0,0.285714285714286,0.14,0.26530612244898
"ASV3592",0.428571428571428,0.428571428571428,0.327272727272727,0.509090909090909,0.326923076923077,0.578947368421053,0.631578947368421,0.26530612244898,0.25,0.0576923076923077,0.2,0.274509803921569,0.191489361702128,0.30188679245283,0.222222222222222,0.619047619047619,0.1,0.381818181818182,0.578947368421053,0.25,0.274509803921569,0.285714285714286,0,0.244897959183673,0.290909090909091
"ASV3695",0.333333333333333,0.333333333333333,0.285714285714286,0.450980392156863,0.244897959183673,0.473684210526316,0.526315789473684,0.229166666666667,0.1875,0.260869565217391,0.148936170212766,0.224489795918367,0.22,0.224489795918367,0.224489795918367,0.523809523809524,0.121951219512195,0.28,0.526315789473684,0.173913043478261,0.0869565217391304,0.14,0.244897959183673,0,0.2
"ASV3732",0.409090909090909,0.363636363636364,0.254545454545455,0.527272727272727,0.245283018867925,0.55,0.6,0.26530612244898,0.25,0.288461538461538,0.26,0.215686274509804,0.166666666666667,0.188679245283019,0.351851851851852,0.590909090909091,0.15,0.236363636363636,0.6,0.192307692307692,0.294117647058823,0.26530612244898,0.290909090909091,0.2,0
